feature,importance
cat__neighbourhood_cleansed_North Riverdale,0.0
cat__neighbourhood_cleansed_Stapleton,0.0
cat__neighbourhood_cleansed_Oakwood,0.0
cat__neighbourhood_cleansed_Clifton,0.0
cat__neighbourhood_cleansed_Co-op City,0.0
cat__neighbourhood_cleansed_University Heights,0.0
cat__neighbourhood_cleansed_Olinville,0.0
cat__neighbourhood_cleansed_Parkchester,0.0
cat__neighbourhood_cleansed_South Beach,0.0
cat__neighbourhood_cleansed_Pelham Bay,0.0
cat__neighbourhood_cleansed_Port Richmond,0.0
cat__neighbourhood_cleansed_Silver Lake,0.0
cat__neighbourhood_cleansed_Shore Acres,0.0
cat__neighbourhood_cleansed_Prince's Bay,0.0
cat__neighbourhood_cleansed_Concord,0.0
cat__neighbourhood_cleansed_Schuylerville,0.0
cat__neighbourhood_cleansed_Rossville,0.0
cat__neighbourhood_cleansed_Columbia St,0.0
cat__neighbourhood_cleansed_Rosebank,0.0
cat__neighbourhood_cleansed_Randall Manor,0.0
cat__neighbourhood_cleansed_Unionport,0.0
"cat__neighbourhood_cleansed_Chelsea, Staten Island",0.0
cat__property_type_Entire bungalow,0.0
cat__neighbourhood_cleansed_Woodlawn,0.0
cat__property_type_Entire bed and breakfast,0.0
cat__property_type_Dome,0.0
cat__property_type_Cave,0.0
cat__property_type_Casa particular,0.0
cat__property_type_Camper/RV,0.0
cat__property_type_Boat,0.0
cat__property_type_Barn,0.0
cat__neighbourhood_cleansed_Breezy Point,0.0
cat__neighbourhood_cleansed_Douglaston,0.0
cat__neighbourhood_cleansed_Little Neck,0.0
cat__neighbourhood_cleansed_Bronxdale,0.0
cat__neighbourhood_cleansed_Dongan Hills,0.0
cat__neighbourhood_cleansed_Bull's Head,0.0
cat__neighbourhood_cleansed_Woodrow,0.0
cat__neighbourhood_cleansed_Manhattan Beach,0.0
cat__neighbourhood_cleansed_Castleton Corners,0.0
cat__neighbourhood_cleansed_Marble Hill,0.0
cat__neighbourhood_cleansed_Willowbrook,0.0
cat__neighbourhood_cleansed_Melrose,0.0
cat__neighbourhood_cleansed_Midland Beach,0.0
cat__neighbourhood_cleansed_Whitestone,0.0
cat__neighbourhood_cleansed_Westerleigh,0.0
cat__neighbourhood_cleansed_Westchester Square,0.0
cat__neighbourhood_cleansed_Country Club,0.0
cat__neighbourhood_cleansed_West Farms,0.0
cat__neighbourhood_cleansed_Mill Basin,0.0
cat__neighbourhood_cleansed_Castle Hill,0.0
num__host_response_rate,0.0
cat__neighbourhood_cleansed_Morrisania,0.0
cat__neighbourhood_cleansed_Van Nest,0.0
cat__neighbourhood_cleansed_Claremont Village,0.0
